Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,9.916666030883789,9.833333015441895,9.75,9.75,3.2167882919311523,9600
1996-01-03,9.739583015441895,9.739583015441895,9.739583015441895,9.739583015441895,3.213350296020508,4800
1996-01-04,9.739583015441895,9.791666030883789,9.645833015441895,9.791666030883789,3.2305352687835693,4800
1996-01-05,9.791666030883789,9.791666030883789,9.791666030883789,9.791666030883789,3.2305352687835693,0
1996-01-08,9.791666030883789,9.6875,9.541666030883789,9.541666030883789,3.1480519771575928,4800
1996-01-09,9.291666030883789,9.585415840148926,9.25,9.585415840148926,3.162487506866455,43200
1996-01-10,9.583333015441895,9.666666030883789,9.583333015441895,9.666666030883789,3.1892940998077393,3340800
1996-01-11,9.666666030883789,9.583333015441895,9.25,9.541666030883789,3.1480519771575928,19200
1996-01-12,9.541666030883789,9.541666030883789,9.541666030883789,9.541666030883789,3.1480519771575928,0
1996-01-15,9.541666030883789,9.541666030883789,9.541666030883789,9.541666030883789,3.1480519771575928,0
1996-01-16,9.791666030883789,9.791666030883789,9.583333015441895,9.791666030883789,3.2305352687835693,9600
1996-01-17,9.791666030883789,9.791666030883789,9.791666030883789,9.791666030883789,3.2305352687835693,0
1996-01-18,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,2400
1996-01-19,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,0
1996-01-22,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,0
1996-01-23,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,0
1996-01-24,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,0
1996-01-25,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,2400
1996-01-26,9.166666030883789,9.166666030883789,9.166666030883789,9.166666030883789,3.02432918548584,0
1996-01-29,9.166666030883789,9.333333015441895,9.272915840148926,9.300000190734863,3.0683202743530273,21600
1996-01-30,9.300000190734863,9.375,9.210415840148926,9.375,3.093065023422241,40800
1996-01-31,9.375,9.375,9.375,9.375,3.093065023422241,0
1996-02-01,9.375,9.583333015441895,9.375,9.583333015441895,3.161799907684326,28800
1996-02-02,9.75,10.0,9.668749809265137,9.752082824707031,3.2174744606018066,38400
1996-02-05,10.0,10.708333015441895,10.0,10.708333015441895,3.5329668521881104,74400
1996-02-06,10.708333015441895,11.166666030883789,10.833333015441895,11.083333015441895,3.656689405441284,45600
