,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL
495,HEROMOTOCO,Long Closed,2015-06-02,2692.25,2015-08-31,2380.0,18.0,48460.5,-5620.5,-11.598
496,HEROMOTOCO,Long Closed,2015-10-21,2658.9,2016-01-18,2438.0,18.0,47860.198,-3976.2,-8.308
497,HEROMOTOCO,Long Closed,2016-03-02,2715.0,2016-05-24,2884.7,18.0,48870.0,3054.6,6.25
498,HEROMOTOCO,Long Closed,2016-06-01,3123.7,2016-10-25,3337.0,16.0,49979.199,3412.8,6.828
499,HEROMOTOCO,Long Closed,2017-02-03,3228.0,2017-04-25,3233.0,15.0,48420.0,75.0,0.155
500,HEROMOTOCO,Long Closed,2017-05-09,3419.95,2017-07-31,3629.9,14.0,47879.299,2939.3,6.139
501,HEROMOTOCO,Long Closed,2017-08-08,3957.0,2017-10-05,3796.0,12.0,47484.0,-1932.0,-4.069
502,HEROMOTOCO,Long Closed,2018-01-08,3773.0,2018-02-07,3618.9,13.0,49049.0,-2003.3,-4.084
503,HEROMOTOCO,Long Closed,2018-04-09,3784.0,2018-05-23,3494.5,13.0,49192.0,-3763.5,-7.651
504,HEROMOTOCO,Long Closed,2018-06-29,3520.5,2018-07-02,3480.0,14.0,49287.0,-567.0,-1.15
505,HEROMOTOCO,Long Closed,2018-11-30,3025.0,2019-01-21,2901.0,16.0,48400.0,-1984.0,-4.099
506,HEROMOTOCO,Long Closed,2019-05-31,2737.7,2019-07-08,2499.0,18.0,49278.599,-4296.6,-8.719
507,HEROMOTOCO,Long Closed,2019-08-28,2597.75,2019-10-31,2695.0,19.0,49357.25,1847.75,3.744
508,HEROMOTOCO,Long Closed,2020-01-29,2484.0,2020-02-25,2190.2,20.0,49680.0,-5876.0,-11.828
509,HEROMOTOCO,Long Closed,2020-05-08,2040.0,2020-11-11,2980.0,24.0,48960.0,22560.0,46.078
510,HEROMOTOCO,Long Closed,2020-12-14,3214.0,2021-03-22,3131.6,15.0,48210.0,-1236.0,-2.564
511,HEROMOTOCO,Long Closed,2021-06-04,3005.0,2021-07-13,2919.0,16.0,48080.0,-1376.0,-2.862
512,HEROMOTOCO,Long Closed,2021-09-24,2850.0,2021-11-02,2695.0,17.0,48450.0,-2635.0,-5.439
513,HEROMOTOCO,Long Closed,2022-01-21,2703.7,2022-03-09,2266.0,18.0,48666.599,-7878.6,-16.189
514,HEROMOTOCO,Long Closed,2022-05-10,2485.0,2022-09-27,2735.0,20.0,49700.0,5000.0,10.06
515,HEROMOTOCO,Long Closed,2022-11-23,2691.0,2023-01-12,2690.0,18.0,48438.0,-18.0,-0.037
516,HEROMOTOCO,Long Closed,2023-05-02,2539.95,2023-08-29,2948.0,19.0,48259.049,7752.95,16.065
517,HEROMOTOCO,Long Closed,2023-10-05,3020.0,2024-03-21,4527.8,16.0,48320.0,24124.8,49.927
518,TATAMOTORS,Long Closed,1991-03-08,21.11,1991-10-17,38.33,2368.0,49986.842,40776.96,81.575
519,TATAMOTORS,Long Closed,1991-11-06,39.97,1991-11-27,32.94,1250.0,49966.183,-8787.5,-17.587
520,TATAMOTORS,Long Closed,1992-01-20,34.73,1992-05-22,51.5,1439.0,49980.855,24132.03,48.283
521,TATAMOTORS,Long Closed,1992-09-16,44.61,1992-10-29,38.33,1120.0,49967.678,-7033.6,-14.076
522,TATAMOTORS,Long Closed,1993-01-15,28.74,1993-01-25,28.74,1739.0,49986.84,0.0,0.0
523,TATAMOTORS,Long Closed,1993-02-19,31.14,1993-03-29,29.34,1605.0,49979.656,-2889.0,-5.78
524,TATAMOTORS,Long Closed,1993-06-22,23.35,1994-04-08,56.89,2140.0,49979.654,71775.6,143.61
525,TATAMOTORS,Long Closed,1994-05-17,62.28,1994-07-11,56.89,802.0,49948.516,-4322.78,-8.654
526,TATAMOTORS,Long Closed,1994-08-23,60.18,1994-11-02,64.38,830.0,49952.709,3486.0,6.979
527,TATAMOTORS,Long Closed,1995-04-24,58.84,1995-11-15,70.14,849.0,49952.258,9593.7,19.206
528,TATAMOTORS,Long Closed,1996-01-10,70.19,1996-02-01,70.47,712.0,49978.335,199.36,0.399
529,TATAMOTORS,Long Closed,1996-02-07,74.58,1996-08-12,96.01,670.0,49970.36,14358.1,28.733
530,TATAMOTORS,Long Closed,1997-01-20,66.11,1997-02-11,61.23,756.0,49981.093,-3689.28,-7.381
531,TATAMOTORS,Long Closed,1997-03-06,76.65,1997-07-31,74.74,652.0,49977.258,-1245.32,-2.492
532,TATAMOTORS,Long Closed,1998-03-19,48.96,1998-05-15,52.51,1021.0,49989.81,3624.55,7.251
533,TATAMOTORS,Long Closed,1998-09-23,28.13,1998-10-16,21.63,1777.0,49989.445,-11550.5,-23.106
534,TATAMOTORS,Long Closed,1998-11-25,25.03,1999-03-02,33.78,1997.0,49978.832,17473.75,34.962
535,TATAMOTORS,Long Closed,1999-05-24,33.92,1999-10-07,49.25,1474.0,49996.042,22596.42,45.196
536,TATAMOTORS,Long Closed,2000-01-19,48.1,2000-02-07,34.13,1039.0,49975.153,-14514.83,-29.044
537,TATAMOTORS,Long Closed,2000-06-01,23.76,2000-06-05,23.36,2104.0,49995.656,-841.6,-1.683
